G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
25	Thu, Feb 19, 2015	8:00 pm/est	ASN	REG	@	Florida International	CUSA	L	56	60		9	16	L 1		florida-international	rice	2015
26	Sat, Feb 21, 2015	7:00 pm/est		REG	@	Florida Atlantic	CUSA	W	76	69		10	16	W 1		florida-atlantic	rice	2015
27	Thu, Feb 26, 2015	8:00 pm/est		REG		Old Dominion	CUSA	L	54	63		10	17	L 1		old-dominion	rice	2015
28	Sat, Feb 28, 2015	8:00 pm/est		REG		Charlotte	CUSA	L	76	77		10	18	L 2		charlotte	rice	2015
29	Thu, Mar 5, 2015	8:00 pm/est		REG	@	Texas-San Antonio	CUSA	W	76	74		11	18	W 1		texas-san-antonio	rice	2015
30	Sat, Mar 7, 2015	4:00 pm/est		REG	@	Texas-El Paso	CUSA	L	65	68		11	19	L 1		texas-el-paso	rice	2015
31	Wed, Mar 11, 2015	9:30 pm/est	American Sports Network	CTOURN	N	North Texas	CUSA	W	82	54		12	19	W 1		north-texas	rice	2015
32	Thu, Mar 12, 2015	9:30 pm/est	American Sports Network	CTOURN	N	Louisiana Tech	CUSA	L	64	70		12	20	L 1		louisiana-tech	rice	2015
1	Fri, Nov 14, 2014	7:30 pm/est		REG		Radford	Big South	W	64	46		1	0	W 1		radford	richmond	2015
2	Tue, Nov 18, 2014	8:00 pm/est	ASN, MASN	REG	@	Old Dominion	CUSA	L	57	63		1	1	L 1		old-dominion	richmond	2015
3	Sat, Nov 22, 2014	1:00 pm/est	CSN-MA+	REG		High Point	Big South	W	80	56		2	1	W 1		high-point	richmond	2015
4	Wed, Nov 26, 2014	7:00 pm/est	ESPN3.com	REG	@	North Carolina State	ACC	L	72	84		2	2	L 1		north-carolina-state	richmond	2015
5	Sun, Nov 30, 2014	3:00 pm/est	PSN-TV	REG	@	Northern Iowa	MVC	L	50	55		2	3	L 2		northern-iowa	richmond	2015
6	Wed, Dec 3, 2014	7:00 pm/est	CSN+	REG		William & Mary	CAA	W	68	67		3	3	W 1		william-mary	richmond	2015
7	Sun, Dec 7, 2014	2:00 pm/est		REG	@	James Madison	CAA	L	46	51		3	4	L 1		james-madison	richmond	2015
8	Sat, Dec 13, 2014	6:00 pm/est	CBS 6, CSN+ (JIP)	REG		Howard	MEAC	W	54	41		4	4	W 1		howard	richmond	2015
9	Thu, Dec 18, 2014	7:00 pm/est		REG		South Alabama	Sun Belt	W	65	54		5	4	W 2		south-alabama	richmond	2015
10	Sat, Dec 20, 2014	7:00 pm/est	ESPN3.com	REG	N	Pepperdine	WCC	W	65	63		6	4	W 3		pepperdine	richmond	2015
11	Tue, Dec 23, 2014	12:00 pm/est		REG		IUPUI	Summit	W	57	53		7	4	W 4		iupui	richmond	2015
12	Sun, Dec 28, 2014	4:00 pm/est	NBCSN	REG		Wake Forest	ACC	L	63	65		7	5	L 1		wake-forest	richmond	2015
13	Wed, Dec 31, 2014	4:00 pm/est		REG		Northeastern	CAA	L	57	58		7	6	L 2		northeastern	richmond	2015
14	Sat, Jan 3, 2015	5:00 pm/est	NBCSN	REG	@	Davidson	A-10	L	67	81		7	7	L 3		davidson	richmond	2015
15	Thu, Jan 8, 2015	7:00 pm/est	NBCSN	REG		George Mason	A-10	W	75	65		8	7	W 1		george-mason	richmond	2015
16	Sun, Jan 11, 2015	3:00 pm/est	CBS 6.3	REG		St. Bonaventure	A-10	W	60	41		9	7	W 2		st-bonaventure	richmond	2015
17	Thu, Jan 15, 2015	7:00 pm/est	ESPN U	REG	@	George Washington	A-10	L	70	73	2OT	9	8	L 1		george-washington	richmond	2015
18	Sat, Jan 17, 2015	6:00 pm/est	CBS 6.1	REG		Davidson	A-10	W	89	63		10	8	W 1		davidson	richmond	2015
19	Sat, Jan 24, 2015	7:00 pm/est	A-10 Net, SNY, CSN-BAL	REG	@	Dayton (22)	A-10	L	60	63		10	9	L 1		dayton	richmond	2015
20	Wed, Jan 28, 2015	7:00 pm/est	CSN+	REG		Duquesne	A-10	W	86	55		11	9	W 1		duquesne	richmond	2015
21	Sat, Jan 31, 2015	2:00 pm/est	ESPN 2	REG	@	Virginia Commonwealth (14)	A-10	W	64	55		12	9	W 2		virginia-commonwealth	richmond	2015
22	Thu, Feb 5, 2015	6:30 pm/est	NBCSN	REG	@	La Salle	A-10	L	62	64		12	10	L 1		la-salle	richmond	2015
23	Sun, Feb 8, 2015	2:30 pm/est	NBCSN	REG		Rhode Island	A-10	L	74	79		12	11	L 2		rhode-island	richmond	2015
24	Wed, Feb 11, 2015	7:00 pm/est	CBS 6.3	REG		Fordham	A-10	W	73	71		13	11	W 1		fordham	richmond	2015
25	Sat, Feb 14, 2015	4:00 pm/est	MASN	REG	@	George Mason	A-10	L	67	71	OT	13	12	L 1		george-mason	richmond	2015
26	Wed, Feb 18, 2015	7:00 pm/est	Time Warner Sports	REG	@	St. Bonaventure	A-10	W	71	56		14	12	W 1		st-bonaventure	richmond	2015
27	Sat, Feb 21, 2015	4:00 pm/est	CBSSN	REG		George Washington	A-10	W	56	48		15	12	W 2		george-washington	richmond	2015
28	Wed, Feb 25, 2015	7:00 pm/est	ESPN 2	REG		Virginia Commonwealth (22)	A-10	W	67	63	2OT	16	12	W 3		virginia-commonwealth	richmond	2015
29	Sat, Feb 28, 2015	7:00 pm/est	A-10 Net, CSN-PHI, SNY	REG	@	Saint Joseph's	A-10	W	63	57		17	12	W 4		saint-josephs	richmond	2015
30	Wed, Mar 4, 2015	7:30 pm/est	ASN	REG	@	Massachusetts	A-10	W	56	53		18	12	W 5		massachusetts	richmond	2015
31	Sat, Mar 7, 2015	8:00 pm/est	A-10 Network	REG		Saint Louis	A-10	W	67	51		19	12	W 6		saint-louis	richmond	2015
32	Fri, Mar 13, 2015	2:30 pm/est	NBCSN	CTOURN	N	Virginia Commonwealth	A-10	L	67	70		19	13	L 1		virginia-commonwealth	richmond	2015
33	Wed, Mar 18, 2015	7:30 pm/est	ESPN3.com	NIT		St. Francis (NY)	NEC	W	84	74		20	13	W 1		st-francis-ny	richmond	2015
34	Sun, Mar 22, 2015	7:30 pm/est	ESPN U	NIT		Arizona State	Pac-12	W	76	70	OT	21	13	W 2		arizona-state	richmond	2015
35	Tue, Mar 24, 2015	7:00 pm/est	ESPN	NIT		Miami (FL)	ACC	L	61	63		21	14	L 1		miami-fl	richmond	2015
1	Fri, Nov 14, 2014	7:00 pm/est	Ivy League Digital Net	REG	@	Princeton	Ivy	L	58	64		0	1	L 1		princeton	rider	2015
2	Tue, Nov 18, 2014	7:00 pm/est		REG	@	Pennsylvania	Ivy	W	73	57		1	1	W 1		pennsylvania	rider	2015
3	Fri, Nov 21, 2014	7:00 pm/est		REG		Lehigh	Patriot	W	78	74		2	1	W 2		lehigh	rider	2015
4	Mon, Nov 24, 2014	8:00 pm/est	Jayhawk TV, ESPN3.com	REG	@	Kansas (11)	Big 12	L	60	87		2	2	L 1		kansas	rider	2015
5	Thu, Nov 27, 2014	6:35 pm/est	ESPN 2	REG	N	Michigan State (20)	Big Ten	L	45	77		2	3	L 2		michigan-state	rider	2015
6	Fri, Nov 28, 2014	6:30 pm/est	ESPN U	REG	N	Georgia Tech	ACC	L	54	61		2	4	L 3		georgia-tech	rider	2015
7	Sun, Nov 30, 2014	10:30 am/est	ESPN3.com	REG	N	Santa Clara	WCC	L	60	68		2	5	L 4		santa-clara	rider	2015
8	Wed, Dec 3, 2014	7:00 pm/est		REG		Central Connecticut State	NEC	W	69	56		3	5	W 1		central-connecticut-state	rider	2015
9	Sun, Dec 7, 2014	2:00 pm/est		REG		Siena	MAAC	W	80	68		4	5	W 2		siena	rider	2015
10	Wed, Dec 10, 2014	7:00 pm/est		REG	@	Iona	MAAC	L	64	77		4	6	L 1		iona	rider	2015
11	Sat, Dec 13, 2014	7:00 pm/est		REG	@	Hartford	AEC	W	63	61		5	6	W 1		hartford	rider	2015
12	Thu, Dec 18, 2014	7:30 pm/est		REG		Morgan State	MEAC	W	62	48		6	6	W 2		morgan-state	rider	2015
13	Mon, Dec 29, 2014	7:00 pm/est		REG	@	Wagner	NEC	W	76	71		7	6	W 3		wagner	rider	2015
14	Fri, Jan 2, 2015	7:00 pm/est		REG	@	Marist	MAAC	W	69	59		8	6	W 4		marist	rider	2015
15	Mon, Jan 5, 2015	7:00 pm/est	ESPN3.com	REG	@	Fairfield	MAAC	W	62	46		9	6	W 5		fairfield	rider	2015
16	Sat, Jan 10, 2015	2:00 pm/est		REG		Saint Peter's	MAAC	W	68	55		10	6	W 6		saint-peters	rider	2015
17	Mon, Jan 12, 2015	7:00 pm/est		REG		Monmouth	MAAC	L	54	55		10	7	L 1		monmouth	rider	2015
18	Thu, Jan 15, 2015	8:00 pm/est	ESPN3.com	REG	@	Quinnipiac	MAAC	W	56	53		11	7	W 1		quinnipiac	rider	2015
19	Sun, Jan 18, 2015	2:00 pm/est		REG	@	Manhattan	MAAC	W	82	79	OT	12	7	W 2		manhattan	rider	2015
20	Thu, Jan 22, 2015	7:00 pm/est		REG		Iona	MAAC	L	68	78		12	8	L 1		iona	rider	2015
21	Sat, Jan 24, 2015	7:00 pm/est		REG		Canisius	MAAC	W	59	46		13	8	W 1		canisius	rider	2015
22	Thu, Jan 29, 2015	8:00 pm/est	ESPN3.com	REG	@	Saint Peter's	MAAC	W	58	49		14	8	W 2		saint-peters	rider	2015
23	Mon, Feb 2, 2015	7:00 pm/est	TWC Sports	REG	@	Siena	MAAC	L	72	79		14	9	L 1		siena	rider	2015
24	Thu, Feb 5, 2015	8:00 pm/est	ESPN3.com	REG		Fairfield	MAAC	W	54	52	OT	15	9	W 1		fairfield	rider	2015
25	Sun, Feb 8, 2015	2:00 pm/est		REG		Manhattan	MAAC	W	85	77	OT	16	9	W 2		manhattan	rider	2015
26	Fri, Feb 13, 2015	7:00 pm/est		REG	@	Canisius	MAAC	W	60	59		17	9	W 3		canisius	rider	2015
27	Sun, Feb 15, 2015	2:00 pm/est	Time Warner Sports	REG	@	Niagara	MAAC	W	69	60		18	9	W 4		niagara	rider	2015
28	Thu, Feb 19, 2015	7:00 pm/est		REG		Quinnipiac	MAAC	W	94	83		19	9	W 5		quinnipiac	rider	2015
29	Sat, Feb 21, 2015	2:00 pm/est		REG		Niagara	MAAC	L	61	65		19	10	L 1		niagara	rider	2015
30	Thu, Feb 26, 2015	8:00 pm/est	ESPN3.com	REG	@	Monmouth	MAAC	W	63	60		20	10	W 1		monmouth	rider	2015
31	Sun, Mar 1, 2015	2:00 pm/est	ESPN3.com	REG		Marist	MAAC	W	59	49		21	10	W 2		marist	rider	2015
32	Sat, Mar 7, 2015	5:30 pm/est	ESPN3.com	CTOURN	N	Saint Peter's	MAAC	L	59	68		21	11	L 1		saint-peters	rider	2015
33	Tue, Mar 17, 2015	8:00 pm/est		CBI	@	Loyola (IL)	MVC	L	59	62		21	12	L 2		loyola-il	rider	2015
1	Fri, Nov 14, 2014	7:00 pm/est		REG		Lafayette	Patriot	L	50	77		0	1	L 1		lafayette	robert-morris	2015
2	Sun, Nov 16, 2014	6:00 pm/est	ESPNU	REG	@	North Carolina (6)	ACC	L	59	103		0	2	L 2		north-carolina	robert-morris	2015
3	Wed, Nov 19, 2014	8:00 pm/est		REG	@	Bradley	MVC	W	68	61		1	2	W 1		bradley	robert-morris	2015
4	Sat, Nov 22, 2014	12:00 pm/est	FS2	REG	@	Georgetown	Big East	L	66	80		1	3	L 1		georgetown	robert-morris	2015
5	Wed, Nov 26, 2014	12:00 pm/est		REG	@	Chattanooga	Southern	L	46	61		1	4	L 2		chattanooga	robert-morris	2015
6	Thu, Nov 27, 2014	12:00 pm/est		REG	N	Louisiana-Monroe	Sun Belt	W	71	54		2	4	W 1		louisiana-monroe	robert-morris	2015
7	Tue, Dec 2, 2014	7:00 pm/est		REG		Youngstown State	Horizon	L	81	89		2	5	L 1		youngstown-state	robert-morris	2015
8	Sun, Dec 7, 2014	1:00 pm/est		REG		Buffalo	MAC	L	59	74		2	6	L 2		buffalo	robert-morris	2015
9	Sat, Dec 13, 2014	4:00 pm/est	ESPN3.com	REG		Duquesne	A-10	W	75	59		3	6	W 1		duquesne	robert-morris	2015
10	Wed, Dec 17, 2014	7:00 pm/est	ESPN3.com	REG	@	Toledo	MAC	L	57	83		3	7	L 1		toledo	robert-morris	2015
11	Mon, Dec 22, 2014	7:00 pm/est		REG		Delaware	CAA	W	84	81		4	7	W 1		delaware	robert-morris	2015
12	Tue, Dec 30, 2014	7:00 pm/est	ESPN3.com	REG	@	Clemson	ACC	L	57	64		4	8	L 1		clemson	robert-morris	2015
13	Sat, Jan 3, 2015	4:00 pm/est		REG		Mount St. Mary's	NEC	W	70	45		5	8	W 1		mount-st-marys	robert-morris	2015
14	Mon, Jan 5, 2015	7:30 pm/est		REG	@	Saint Francis (PA)	NEC	L	59	66		5	9	L 1		saint-francis-pa	robert-morris	2015
15	Thu, Jan 8, 2015	9:00 pm/est	CBSSN	REG	@	Wagner	NEC	W	77	73		6	9	W 1		wagner	robert-morris	2015
16	Sat, Jan 10, 2015	3:30 pm/est		REG	@	Central Connecticut State	NEC	W	72	60		7	9	W 2		central-connecticut-state	robert-morris	2015
17	Fri, Jan 16, 2015	9:00 pm/est	ESPN U	REG		St. Francis (NY)	NEC	L	63	68		7	10	L 1		st-francis-ny	robert-morris	2015
18	Sun, Jan 18, 2015	1:00 pm/est		REG		Sacred Heart	NEC	W	85	65		8	10	W 1		sacred-heart	robert-morris	2015
19	Thu, Jan 22, 2015	7:00 pm/est		REG	@	Mount St. Mary's	NEC	W	63	59	OT	9	10	W 2		mount-st-marys	robert-morris	2015
20	Sat, Jan 24, 2015	4:00 pm/est	ESPN3.com	REG	@	St. Francis (NY)	NEC	W	67	65		10	10	W 3		st-francis-ny	robert-morris	2015
21	Thu, Jan 29, 2015	7:00 pm/est		REG		Fairleigh Dickinson	NEC	W	87	65		11	10	W 4		fairleigh-dickinson	robert-morris	2015
22	Sat, Jan 31, 2015	4:00 pm/est		REG		Bryant	NEC	L	68	71		11	11	L 1		bryant	robert-morris	2015
23	Thu, Feb 5, 2015	7:00 pm/est		REG	@	Long Island University	NEC	L	65	72		11	12	L 2		long-island-university	robert-morris	2015
24	Sat, Feb 7, 2015	4:30 pm/est		REG	@	Fairleigh Dickinson	NEC	W	76	62		12	12	W 1		fairleigh-dickinson	robert-morris	2015
25	Thu, Feb 12, 2015	7:00 pm/est		REG		Long Island University	NEC	L	62	63		12	13	L 1		long-island-university	robert-morris	2015
26	Sat, Feb 14, 2015	12:00 pm/est	MSG, FCS, CSN-NE	REG		Central Connecticut State	NEC	W	53	52		13	13	W 1		central-connecticut-state	robert-morris	2015
27	Thu, Feb 19, 2015	7:00 pm/est		REG	@	Sacred Heart	NEC	L	76	80		13	14	L 1		sacred-heart	robert-morris	2015
28	Sat, Feb 21, 2015	4:00 pm/est		REG	@	Bryant	NEC	W	76	70		14	14	W 1		bryant	robert-morris	2015
29	Thu, Feb 26, 2015	7:00 pm/est		REG		Wagner	NEC	W	91	59		15	14	W 2		wagner	robert-morris	2015
30	Sat, Feb 28, 2015	4:00 pm/est		REG		Saint Francis (PA)	NEC	W	71	70	OT	16	14	W 3		saint-francis-pa	robert-morris	2015
31	Wed, Mar 4, 2015	7:00 pm/est		CTOURN		Wagner	NEC	W	91	68		17	14	W 4		wagner	robert-morris	2015
32	Sat, Mar 7, 2015	12:00 pm/est	MSG, FCS	CTOURN		Bryant	NEC	W	66	53		18	14	W 5		bryant	robert-morris	2015
33	Tue, Mar 10, 2015	7:00 pm/est	ESPN 2	CTOURN	@	St. Francis (NY)	NEC	W	66	63		19	14	W 6		st-francis-ny	robert-morris	2015
34	Wed, Mar 18, 2015	6:40 pm/est	truTV	NCAA	N	North Florida	A-Sun	W	81	77		20	14	W 7		north-florida	robert-morris	2015
35	Fri, Mar 20, 2015	7:10 pm/est	CBS	NCAA	N	Duke (4)	ACC	L	56	85		20	15	L 1		duke	robert-morris	2015
1	Sun, Nov 16, 2014	7:00 pm/est	Big Ten Network	REG		George Washington	A-10	L	53	70		0	1	L 1		george-washington	rutgers	2015
2	Wed, Nov 19, 2014	7:30 pm/est	BTN Plus	REG		Fairleigh Dickinson	NEC	W	61	44		1	1	W 1		fairleigh-dickinson	rutgers	2015
3	Sun, Nov 23, 2014	5:00 pm/est	Big Ten Network+	REG		St. Francis (NY)	NEC	W	76	73		2	1	W 2		st-francis-ny	rutgers	2015
4	Tue, Nov 25, 2014	7:00 pm/est	Big Ten Network	REG		Saint Peter's	MAAC	L	50	68		2	2	L 1		saint-peters	rutgers	2015
5	Fri, Nov 28, 2014	7:00 pm/est	NBCSN	REG	N	Vanderbilt	SEC	W	68	65		3	2	W 1		vanderbilt	rutgers	2015
6	Sat, Nov 29, 2014	9:30 pm/est	NBCSN	REG	N	Virginia (8)	ACC	L	26	45		3	3	L 1		virginia	rutgers	2015
7	Mon, Dec 1, 2014	7:00 pm/est	ESPN U	REG	@	Clemson	ACC	W	69	64		4	3	W 1		clemson	rutgers	2015
8	Sat, Dec 6, 2014	12:00 pm/est	FSN, MASN2	REG	@	Seton Hall	Big East	L	54	81		4	4	L 1		seton-hall	rutgers	2015
9	Tue, Dec 9, 2014	7:00 pm/est	Big Ten Network	REG		New Hampshire	AEC	W	60	56		5	4	W 1		new-hampshire	rutgers	2015
10	Sun, Dec 14, 2014	12:00 pm/est		REG	N	Manhattan	MAAC	W	63	55		6	4	W 2		manhattan	rutgers	2015
11	Sat, Dec 20, 2014	2:00 pm/est	BTN Plus	REG		Saint Francis (PA)	NEC	L	68	73		6	5	L 1		saint-francis-pa	rutgers	2015
12	Tue, Dec 23, 2014	7:00 pm/est	Big Ten Network	REG		Sacred Heart	NEC	W	79	54		7	5	W 1		sacred-heart	rutgers	2015
13	Sun, Dec 28, 2014	3:00 pm/est	ESPN3.com	REG	@	Monmouth	MAAC	W	59	58		8	5	W 2		monmouth	rutgers	2015
14	Tue, Dec 30, 2014	12:00 pm/est	ESPN U	REG		Northwestern	Big Ten	L	47	51		8	6	L 1		northwestern	rutgers	2015
15	Sat, Jan 3, 2015	7:30 pm/est	ESPN 2	REG		Penn State	Big Ten	W	50	46		9	6	W 1		penn-state	rutgers	2015
16	Thu, Jan 8, 2015	9:00 pm/est	ESPN U	REG	@	Nebraska	Big Ten	L	49	65		9	7	L 1		nebraska	rutgers	2015
17	Sun, Jan 11, 2015	6:00 pm/est	Big Ten Network	REG		Wisconsin (4)	Big Ten	W	67	62		10	7	W 1		wisconsin	rutgers	2015
18	Wed, Jan 14, 2015	7:00 pm/est	Big Ten Network	REG	@	Maryland (14)	Big Ten	L	65	73		10	8	L 1		maryland	rutgers	2015
19	Sat, Jan 17, 2015	12:00 pm/est	Big Ten Network	REG	@	Minnesota	Big Ten	L	80	89		10	9	L 2		minnesota	rutgers	2015
20	Tue, Jan 20, 2015	6:30 pm/est	Big Ten Network	REG		Michigan	Big Ten	L	50	54		10	10	L 3		michigan	rutgers	2015
21	Sat, Jan 24, 2015	12:00 pm/est	ESPN U	REG	@	Penn State	Big Ten	L	51	79		10	11	L 4		penn-state	rutgers	2015
22	Thu, Jan 29, 2015	6:00 pm/est	Big Ten Network	REG		Michigan State	Big Ten	L	51	71		10	12	L 5		michigan-state	rutgers	2015
23	Sat, Jan 31, 2015	3:15 pm/est	Big Ten Network	REG	@	Indiana (22)	Big Ten	L	64	72		10	13	L 6		indiana	rutgers	2015
24	Tue, Feb 3, 2015	9:30 pm/est	Big Ten Network	REG	@	Illinois	Big Ten	L	54	66		10	14	L 7		illinois	rutgers	2015
25	Sun, Feb 8, 2015	5:30 pm/est	Big Ten Network	REG		Ohio State (20)	Big Ten	L	60	79		10	15	L 8		ohio-state	rutgers	2015
26	Thu, Feb 12, 2015	7:00 pm/est	ESPN U	REG		Purdue	Big Ten	L	51	61		10	16	L 9		purdue	rutgers	2015
27	Thu, Feb 19, 2015	8:00 pm/est	ESPN U	REG	@	Iowa	Big Ten	L	47	81		10	17	L 10		iowa	rutgers	2015
28	Sun, Feb 22, 2015	5:15 pm/est	Big Ten Network	REG		Indiana	Big Ten	L	54	84		10	18	L 11		indiana	rutgers	2015
29	Thu, Feb 26, 2015	9:00 pm/est	ESPN U	REG	@	Purdue	Big Ten	L	85	92		10	19	L 12		purdue	rutgers	2015
30	Tue, Mar 3, 2015	7:00 pm/est	Big Ten Network	REG		Maryland (10)	Big Ten	L	50	60		10	20	L 13		maryland	rutgers	2015
31	Sat, Mar 7, 2015	2:15 pm/est	Big Ten Network	REG	@	Michigan	Big Ten	L	69	79		10	21	L 14		michigan	rutgers	2015
32	Wed, Mar 11, 2015	7:10 pm/est	Big Ten Network	CTOURN	N	Minnesota	Big Ten	L	68	80		10	22	L 15		minnesota	rutgers	2015
1	Fri, Nov 14, 2014	9:00 pm/est	ROOT-NW	REG	@	Gonzaga (13)	WCC	L	58	104		0	1	L 1		gonzaga	sacramento-state	2015
2	Mon, Nov 17, 2014	10:00 pm/est		REG	@	UC-Riverside	Big West	W	70	69		1	1	W 1		california-riverside	sacramento-state	2015
3	Wed, Nov 19, 2014	10:05 pm/est		REG		Simpson		W	74	42		2	1	W 2		NA	sacramento-state	2015
4	Tue, Nov 25, 2014	10:05 pm/est		REG		Bristol University		W	97	63		3	1	W 3		NA	sacramento-state	2015
5	Mon, Dec 1, 2014	10:05 pm/est		REG		Utah Valley	WAC	W	65	56		4	1	W 4		utah-valley	sacramento-state	2015
6	Thu, Dec 4, 2014	8:00 pm/est		REG	@	Abilene Christian	Southland	L	61	72		4	2	L 1		abilene-christian	sacramento-state	2015
7	Sat, Dec 6, 2014	10:00 pm/est		REG	@	UC-Irvine	Big West	L	62	74		4	3	L 2		california-irvine	sacramento-state	2015
8	Thu, Dec 11, 2014	10:05 pm/est		REG		Cal State Fullerton	Big West	W	73	59		5	3	W 1		cal-state-fullerton	sacramento-state	2015
9	Sun, Dec 14, 2014	8:05 pm/est		REG		Portland	WCC	L	75	80		5	4	L 1		portland	sacramento-state	2015
10	Sun, Dec 21, 2014	10:00 pm/est		REG	@	Seattle	WAC	L	47	66		5	5	L 2		seattle	sacramento-state	2015
11	Sat, Dec 27, 2014	9:05 pm/est		REG	@	Utah Valley	WAC	W	74	49		6	5	W 1		utah-valley	sacramento-state	2015
12	Thu, Jan 1, 2015	10:05 pm/est		REG		Northern Arizona	Big Sky	W	78	73		7	5	W 2		northern-arizona	sacramento-state	2015
13	Sat, Jan 3, 2015	10:05 pm/est		REG		Southern Utah	Big Sky	W	90	75		8	5	W 3		southern-utah	sacramento-state	2015
14	Thu, Jan 8, 2015	8:00 pm/est	FSN North, FCS Pacific	REG	@	North Dakota	Big Sky	W	63	61		9	5	W 4		north-dakota	sacramento-state	2015
15	Sat, Jan 10, 2015	9:00 pm/est		REG	@	Northern Colorado	Big Sky	L	73	84		9	6	L 1		northern-colorado	sacramento-state	2015
16	Thu, Jan 15, 2015	10:05 pm/est		REG		Idaho	Big Sky	W	79	76		10	6	W 1		idaho	sacramento-state	2015
17	Sat, Jan 17, 2015	10:05 pm/est		REG		Eastern Washington	Big Sky	W	90	77		11	6	W 2		eastern-washington	sacramento-state	2015
18	Thu, Jan 22, 2015	9:05 pm/est		REG	@	Idaho State	Big Sky	W	62	59		12	6	W 3		idaho-state	sacramento-state	2015
19	Sat, Jan 24, 2015	9:00 pm/est		REG	@	Weber State	Big Sky	W	78	71		13	6	W 4		weber-state	sacramento-state	2015
20	Thu, Jan 29, 2015	10:05 pm/est		REG		Montana State	Big Sky	W	75	59		14	6	W 5		montana-state	sacramento-state	2015
21	Sat, Jan 31, 2015	10:05 pm/est		REG		Montana	Big Sky	W	70	69		15	6	W 6		montana	sacramento-state	2015
22	Sat, Feb 7, 2015	5:05 pm/est		REG		Portland State	Big Sky	W	64	60		16	6	W 7		portland-state	sacramento-state	2015
23	Thu, Feb 12, 2015	9:05 pm/est		REG	@	Eastern Washington	Big Sky	L	61	64		16	7	L 1		eastern-washington	sacramento-state	2015
24	Sat, Feb 14, 2015	10:00 pm/est		REG	@	Idaho	Big Sky	L	58	69		16	8	L 2		idaho	sacramento-state	2015
25	Thu, Feb 19, 2015	10:05 pm/est		REG		Northern Colorado	Big Sky	W	66	59		17	8	W 1		northern-colorado	sacramento-state	2015
26	Sat, Feb 21, 2015	10:05 pm/est		REG		North Dakota	Big Sky	W	74	66		18	8	W 2		north-dakota	sacramento-state	2015
27	Sat, Feb 28, 2015	10:05 pm/est		REG	@	Portland State	Big Sky	W	73	60		19	8	W 3		portland-state	sacramento-state	2015
28	Thu, Mar 5, 2015	9:00 pm/est		REG	@	Southern Utah	Big Sky	L	65	69		19	9	L 1		southern-utah	sacramento-state	2015
29	Sat, Mar 7, 2015	4:05 pm/est	FSN-AZ, FCS-Atlantic	REG	@	Northern Arizona	Big Sky	L	68	70		19	10	L 2		northern-arizona	sacramento-state	2015
30	Thu, Mar 12, 2015	3:30 pm/est		CTOURN	N	Portland State	Big Sky	W	70	60		20	10	W 1		portland-state	sacramento-state	2015
31	Fri, Mar 13, 2015	7:30 pm/est		CTOURN	N	Eastern Washington	Big Sky	L	83	91		20	11	L 1		eastern-washington	sacramento-state	2015
32	Wed, Mar 18, 2015	10:00 pm/est		CIT	@	Portland	WCC	W	73	66		21	11	W 1		portland	sacramento-state	2015
33	Sat, Mar 21, 2015	10:00 pm/est		CIT		Northern Arizona	Big Sky	L	73	78		21	12	L 1		northern-arizona	sacramento-state	2015
1	Fri, Nov 14, 2014	8:00 pm/est		REG	N	Hartford	AEC	W	71	53		1	0	W 1		hartford	sacred-heart	2015
2	Thu, Nov 20, 2014	7:00 pm/est		REG		Massachusetts-Lowell	AEC	L	54	57		1	1	L 1		massachusetts-lowell	sacred-heart	2015
3	Sun, Nov 23, 2014	7:00 pm/est	Big Ten Network	REG	@	Ohio State (20)	Big Ten	L	48	106		1	2	L 2		ohio-state	sacred-heart	2015
4	Wed, Nov 26, 2014	2:00 pm/est		REG	@	James Madison	CAA	L	72	79		1	3	L 3		james-madison	sacred-heart	2015
5	Sun, Nov 30, 2014	3:30 pm/est		REG		Campbell	Big South	W	71	62		2	3	W 1		campbell	sacred-heart	2015
6	Wed, Dec 3, 2014	7:00 pm/est	Patriot League Network	REG	@	Colgate	Patriot	W	71	70		3	3	W 2		colgate	sacred-heart	2015
7	Sat, Dec 6, 2014	3:30 pm/est		REG		Holy Cross	Patriot	W	81	68		4	3	W 3		holy-cross	sacred-heart	2015
8	Mon, Dec 8, 2014	7:00 pm/est	Patriot League Network	REG	@	Lafayette	Patriot	L	81	82		4	4	L 1		lafayette	sacred-heart	2015
9	Sun, Dec 14, 2014	3:30 pm/est		REG		Mitchell		W	104	68		5	4	W 1		NA	sacred-heart	2015
10	Sat, Dec 20, 2014	5:00 pm/est		REG		New Hampshire	AEC	W	73	60		6	4	W 2		new-hampshire	sacred-heart	2015
11	Tue, Dec 23, 2014	7:00 pm/est	Big Ten Network	REG	@	Rutgers	Big Ten	L	54	79		6	5	L 1		rutgers	sacred-heart	2015
12	Sun, Dec 28, 2014	2:00 pm/est		REG	@	Brown	Ivy	L	76	79		6	6	L 2		brown	sacred-heart	2015
13	Tue, Dec 30, 2014	2:00 pm/est		REG		Yale	Ivy	L	64	70		6	7	L 3		yale	sacred-heart	2015
14	Sat, Jan 3, 2015	3:30 pm/est		REG		St. Francis (NY)	NEC	L	71	73		6	8	L 4		st-francis-ny	sacred-heart	2015
15	Mon, Jan 5, 2015	7:30 pm/est		REG		Central Connecticut State	NEC	W	75	66		7	8	W 1		central-connecticut-state	sacred-heart	2015
